StationID_Master	COMID	clust	SampDate	SampYear	ChemSampleID	PhabSampID	FldChemSampID	FlowSampID	BMISampID	AlgSampID	EpiphyteSampID	IntegAlgSampID	MacroalgSampID	MicroalgSampID
402BA0031	17586626	2	5/28/2008	2008	402BA0031_2008-05-28	402BA0031_2008-05-28	NA	NA	402BA0031_5/28/2008_BMI_RWB_1	402BA0031_5/28/2008_1	402BA0031_5/28/2008_1	402BA0031_5/28/2008_1	402BA0031_5/28/2008_1	402BA0031_5/28/2008_1
402BA0079	17586810	2	5/28/2008	2008	402BA0079_2008-05-28	402BA0079_2008-05-28	NA	402BA0079_modeledflow	402BA0079_5/28/2008_BMI_RWB_1	402BA0079_5/28/2008_1	402BA0079_5/28/2008_1	402BA0079_5/28/2008_1	402BA0079_5/28/2008_1	402BA0079_5/28/2008_1
402BA0095	17586570	2	5/29/2008	2008	402BA0095_2008-05-29	402BA0095_2008-05-29	NA	402BA0095_modeledflow	402BA0095_5/29/2008_BMI_RWB_1	402BA0095_5/29/2008_1	402BA0095_5/29/2008_1	402BA0095_5/29/2008_1	402BA0095_5/29/2008_1	402BA0095_5/29/2008_1
402BA0143	17587720	5	5/21/2008	2008	402BA0143_2008-05-21	402BA0143_2008-05-21	NA	402BA0143_modeledflow	402BA0143_5/21/2008_BMI_RWB_1	402BA0143_5/21/2008_1	402BA0143_5/21/2008_1	402BA0143_5/21/2008_1	402BA0143_5/21/2008_1	402BA0143_5/21/2008_1
402BA0335	17586848	5	5/27/2008	2008	402BA0335_2008-05-27	402BA0335_2008-05-27	NA	402BA0335_modeledflow	402BA0335_5/27/2008_BMI_RWB_2	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1
402BA0335	17586848	5	5/27/2008	2008	402BA0335_2008-05-27	402BA0335_2008-05-27	NA	402BA0335_modeledflow	402BA0335_5/27/2008_BMI_RWB_1	402BA0335_5/27/2008_2	402BA0335_5/27/2008_2	402BA0335_5/27/2008_2	402BA0335_5/27/2008_2	402BA0335_5/27/2008_2
402BA0335	17586848	5	5/27/2008	2008	402BA0335_2008-05-27	402BA0335_2008-05-27	NA	402BA0335_modeledflow	402BA0335_5/27/2008_BMI_RWB_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1
402BA0335	17586848	5	5/27/2008	2008	402BA0335_2008-05-27	402BA0335_2008-05-27	NA	402BA0335_modeledflow	402BA0335_5/27/2008_BMI_RWB_2	402BA0335_5/27/2008_2	402BA0335_5/27/2008_2	402BA0335_5/27/2008_2	402BA0335_5/27/2008_2	402BA0335_5/27/2008_2
402BA0335	17586848	5	5/29/2008	2008	402BA0335_2008-05-29	NA	NA	402BA0335_modeledflow	NA	NA	NA	NA	NA	NA
402M00002	17586972	5	8/13/2015	2015	NA	402M00002_2015-08-13	402M00002_2015-08-13	NA	402M00002_8/13/2015_BMI_RWB_MCM_1	402M00002_8/13/2015_1	NA	402M00002_8/13/2015_1	NA	NA
