"StationID"	"Lat_Dec"	"Long_Dec"	"StreamType"	"WBID"	"Elevation"	"InvertReg"	"BenSampID"	"RepNum"	"CollDate"	"Comments"	"CollMeth"	"FieldGearID"	"Habitat"	"WQX_FinalID"	"FinalID"	"Individuals"	"IndividualsCorrected"	"LargeRare"	"Stage"
"SRDEV000.38"	33.822965	-110.86081	"Perennial"	"15060103-801"	3420	"warm"	2470	1	1993-05-06	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Ablabesmyia"	"Ablabesmyia"	2	8	FALSE	"X"
"LCRDF009.82"	35.2073733	-111.5766875	"Effluent"	"15020015-004"	6760	"cold"	2539	1	1994-06-09	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Ablabesmyia"	"Ablabesmyia"	2	60	FALSE	"X"
"VRWBV012.56"	34.6739211	-111.6701661	"Perennial"	"15060202-004"	4025	"warm"	2731	1	1998-05-05	"Raw data from Patti S. fall 1999 - from table 1998"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Ablabesmyia"	"Ablabesmyia"	1	1	FALSE	"X"
"VRWOK000.82"	34.9965278	-111.7496944	"Perennial"	"15060202-020"	5310	"cold"	2738	1	1992-09-30	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	1	4	FALSE	"x"
"VRPIE000.29"	34.2243308	-111.4885189	"Perennial"	"15060203-049"	3360	"warm"	2739	1	1992-10-08	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	5	20	FALSE	"x"
"VRROU002.93"	34.1395906	-111.84675	"Perennial"	"15060203-853"	3300	"warm"	2740	1	1992-10-02	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	3	6	FALSE	"x"
"VRSYH000.25"	34.0796208	-111.7018136	"Perennial"	"15060203-055"	2080	"warm"	2741	1	1992-10-02	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	2	4	FALSE	"x"
"VREVR031.25"	34.2867614	-111.3853258	"Perennial"	"15060203-022B"	4280	"warm"	2743	1	1992-10-08	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	6	6	FALSE	"x"
"VRPIE000.29"	34.2243308	-111.4885189	"Perennial"	"15060203-049"	3360	"warm"	2769	1	1993-09-22	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	3	12	FALSE	"X"
"VRSYW001.72"	34.8822694	-112.0671	"Perennial"	"15060202-026"	3625	"warm"	2772	1	1993-10-05	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	1	8	FALSE	"X"
"VRVER165.07"	34.8936803	-112.2122153	"Perennial"	"15060202-038"	3820	"warm"	2773	1	1993-10-04	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	5	5	FALSE	"X"
"VRWOK000.82"	34.9965278	-111.7496944	"Perennial"	"15060202-020"	5310	"cold"	2779	1	1993-10-06	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	5	40	FALSE	"X"
"SPRUC008.21"	31.7854872	-109.2933369	"Perennial"	"15080301-288"	6220	"cold"	2844	1	2000-06-01	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	18	18	FALSE	"X"
"SPRMC011.48"	31.43725	-110.3192128	"Perennial"	"15050202-404A"	6175	"cold"	2857	1	2000-06-01	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	70	399.7	FALSE	"X"
"SPSPR150.09"	31.38	-110.1108333	"Perennial"	"15050202-008"	4316	"warm"	2865	1	2000-04-25	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	7	186.2	FALSE	"X"
"VRVER165.07"	34.8936803	-112.2122153	"Perennial"	"15060202-038"	3820	"warm"	2909	1	1994-09-24	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	1	6	FALSE	"X"
"VROAK028.24"	34.8129125	-111.8312	"Perennial"	"15060202-018C"	3840	"warm"	2952	1	1995-10-03	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	4	6	FALSE	"X"
"VRPIE000.29"	34.2243308	-111.4885189	"Perennial"	"15060203-049"	3360	"warm"	2955	1	1995-10-24	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	23.6666666666667	128.983333333333	FALSE	"X"
"VRPIE016.49"	34.4210325	-111.4409	"Perennial"	"15060203-049"	5760	"cold"	2956	1	1995-10-16	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	24	96	FALSE	"X"
"VRWEB009.13"	34.3993353	-111.3648528	"Perennial"	"15060203-058"	5380	"cold"	2970	1	1995-10-23	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	3	6	FALSE	"X"
"SCCIE019.90"	31.8848589	-110.55486	"Perennial"	"15050302-006A"	4050	"warm"	2985	1	1996-05-30	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	5	100	FALSE	"X"
"UGCMB004.23"	33.7388033	-109.0971569	"Perennial"	"15040004-028"	6670	"cold"	2993	1	1996-05-21	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	11	220	FALSE	"X"
"UGCOL003.48"	33.7715347	-109.1873933	"Perennial"	"15040004-040"	7850	"cold"	2994	1	1996-05-21	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	3	39.9	FALSE	"X"
"UGLAN000.60"	33.5864811	-109.1296708	"Perennial"	"15040004-500"	5725	"cold"	2997	1	1996-05-20	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	155	1162.5	FALSE	"X"
"VRPIE000.29"	34.2243308	-111.4885189	"Perennial"	"15060203-049"	3360	"warm"	2998	1	1994-10-05	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	1	2.5	FALSE	"X"
"UGLAN000.60"	33.5864811	-109.1296708	"Perennial"	"15040004-500"	5725	"cold"	3015	1	1996-05-20	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Ablabesmyia"	"Ablabesmyia"	2	60	FALSE	"X"
"VRWCL011.16"	34.5384167	-111.6853611	"Perennial"	"15060203-026B"	3660	"warm"	3019	1	1993-01-06	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	2	4	FALSE	"X"
"VRWBV012.56"	34.6739211	-111.6701661	"Perennial"	"15060202-004"	4025	"warm"	3022	1	1993-01-06	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	2	2	FALSE	"X"
"LCBRB006.74"	34.4944461	-111.1658931	"Perennial"	"15020008-537"	6950	"cold"	3349	1	2007-06-18	"Habitat: Reference"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Ablabesmyia"	"Ablabesmyia"	20	33.6021505376344	FALSE	"X"
"LCBRB006.74"	34.4944461	-111.1658931	"Perennial"	"15020008-537"	6950	"cold"	3350	1	2007-06-20	"Habitat: Reference"	"EMAP Multihab bugs"	"D-frame di"	"Multi-habitat"	"Ablabesmyia"	"Ablabesmyia"	20	20	FALSE	"X"
"LCCHC081.26"	34.3873889	-110.8721944	"Perennial"	"15020010-006"	6500	"cold"	3351	1	2007-06-18	"NA"	"EMAP Multihab bugs"	"D-frame di"	"Multi-habitat"	"Ablabesmyia"	"Ablabesmyia"	4	10.6809078771696	FALSE	"X"
