StationID_Master	biocomm	stressName	stressLabel	respName	respLabel	n	statistic	p.value	estimate	r2
902S01097	BMI	AFDM_algae_particulate_g_m2	Ash-free dry mass from algae (g/m2)	CSCI	CSCI	18	-1	0.33	-0.23	0.055
902S01097	BMI	AFDM_algae_particulate_g_m2	Ash-free dry mass from algae (g/m2)	MMI	MMI	18	-0.88	0.39	-0.21	0.044
902S01097	BMI	AFDM_algae_particulate_g_m2	Ash-free dry mass from algae (g/m2)	OoverE	O/E	18	-0.82	0.42	-0.2	0.038
902S01097	BMI	AFDM_algae_particulate_g_m2	Ash-free dry mass from algae (g/m2)	Taxonomic_Richness	Taxonomic richness	18	-0.02	0.98	-0.0048	0.000
902S01097	BMI	AFDM_algae_particulate_g_m2	Ash-free dry mass from algae (g/m2)	Intolerant_Percent	Percent intolerant individuals	18	0.23	0.82	0.057	0.003
902S01097	BMI	AFDM_algae_particulate_g_m2	Ash-free dry mass from algae (g/m2)	Shredder_Taxa	Number of shredder taxa	18	-0.36	0.72	-0.088	0.008
902S01097	BMI	AFDM_algae_particulate_g_m2	Ash-free dry mass from algae (g/m2)	Clinger_PercentTaxa	Percent of clinger taxa	18	0.61	0.55	0.15	0.022
902S01097	BMI	AFDM_algae_particulate_g_m2	Ash-free dry mass from algae (g/m2)	Coleoptera_PercentTaxa	Percent of coleoptera taxa	18	0.21	0.84	0.051	0.003
902S01097	BMI	AFDM_algae_particulate_g_m2	Ash-free dry mass from algae (g/m2)	EPT_PercentTaxa	Percent of EPT taxa	18	-1.1	0.28	-0.26	0.069
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	CSCI	CSCI	27	-0.00068	1	-0.00013	0.000
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	CSCI	CSCI	27	-0.00068	1	-0.00013	0.000
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	MMI	MMI	27	-1.3	0.19	-0.26	0.065
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	MMI	MMI	27	-1.3	0.19	-0.26	0.065
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	OoverE	O/E	27	0.58	0.57	0.11	0.013
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	OoverE	O/E	27	0.58	0.57	0.11	0.013
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Taxonomic_Richness	Taxonomic richness	27	0.5	0.62	0.098	0.010
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Taxonomic_Richness	Taxonomic richness	27	0.5	0.62	0.098	0.010
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Intolerant_Percent	Percent intolerant individuals	27	-0.65	0.52	-0.13	0.016
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Intolerant_Percent	Percent intolerant individuals	27	-0.65	0.52	-0.13	0.016
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Shredder_Taxa	Number of shredder taxa	27	-0.63	0.53	-0.12	0.015
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Shredder_Taxa	Number of shredder taxa	27	-0.63	0.53	-0.12	0.015
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Clinger_PercentTaxa	Percent of clinger taxa	27	0.67	0.51	0.13	0.017
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Clinger_PercentTaxa	Percent of clinger taxa	27	0.67	0.51	0.13	0.017
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Coleoptera_PercentTaxa	Percent of coleoptera taxa	27	-3	0.0057	-0.51	0.259
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	Coleoptera_PercentTaxa	Percent of coleoptera taxa	27	-3	0.0057	-0.51	0.259
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	EPT_PercentTaxa	Percent of EPT taxa	27	-0.52	0.61	-0.1	0.010
902S01097	BMI	Alkalinity_CaCO3_fld_mg_L	Field-measured alkalinity as calcium carbonate (mg/L)	EPT_PercentTaxa	Percent of EPT taxa	27	-0.52	0.61	-0.1	0.010
902S01097	BMI	Arsenic_f_ug_L	Dissolved arsenic (µg/L)	CSCI	CSCI	8	0.19	0.86	0.071	0.005
902S01097	BMI	Arsenic_f_ug_L	Dissolved arsenic (µg/L)	MMI	MMI	8	-0.48	0.65	-0.18	0.031
902S01097	BMI	Arsenic_f_ug_L	Dissolved arsenic (µg/L)	OoverE	O/E	8	0.55	0.6	0.2	0.042
902S01097	BMI	Arsenic_f_ug_L	Dissolved arsenic (µg/L)	Taxonomic_Richness	Taxonomic richness	8	1.1	0.32	0.37	0.140
902S01097	BMI	Arsenic_f_ug_L	Dissolved arsenic (µg/L)	Intolerant_Percent	Percent intolerant individuals	8	1.3	0.24	0.43	0.188
902S01097	BMI	Arsenic_f_ug_L	Dissolved arsenic (µg/L)	Shredder_Taxa	Number of shredder taxa	8	0.22	0.83	0.083	0.007
902S01097	BMI	Arsenic_f_ug_L	Dissolved arsenic (µg/L)	Clinger_PercentTaxa	Percent of clinger taxa	8	-1.4	0.22	-0.46	0.209
902S01097	BMI	Arsenic_f_ug_L	Dissolved arsenic (µg/L)	Coleoptera_PercentTaxa	Percent of coleoptera taxa	8	1.2	0.27	0.41	0.171
902S01097	BMI	Arsenic_f_ug_L	Dissolved arsenic (µg/L)	EPT_PercentTaxa	Percent of EPT taxa	8	-0.79	0.45	-0.29	0.083
902S01097	BMI	Arsenic_uf_ug_L	Total arsenic (µg/L)	CSCI	CSCI	8	0.051	0.96	0.019	0.000
902S01097	BMI	Arsenic_uf_ug_L	Total arsenic (µg/L)	MMI	MMI	8	-0.51	0.62	-0.19	0.036
902S01097	BMI	Arsenic_uf_ug_L	Total arsenic (µg/L)	OoverE	O/E	8	0.37	0.72	0.14	0.019
902S01097	BMI	Arsenic_uf_ug_L	Total arsenic (µg/L)	Taxonomic_Richness	Taxonomic richness	8	1	0.34	0.36	0.133
902S01097	BMI	Arsenic_uf_ug_L	Total arsenic (µg/L)	Intolerant_Percent	Percent intolerant individuals	8	1.2	0.26	0.42	0.175
902S01097	BMI	Arsenic_uf_ug_L	Total arsenic (µg/L)	Shredder_Taxa	Number of shredder taxa	8	0.44	0.68	0.16	0.027
902S01097	BMI	Arsenic_uf_ug_L	Total arsenic (µg/L)	Clinger_PercentTaxa	Percent of clinger taxa	8	-1.8	0.11	-0.57	0.323
902S01097	BMI	Arsenic_uf_ug_L	Total arsenic (µg/L)	Coleoptera_PercentTaxa	Percent of coleoptera taxa	8	1.8	0.11	0.56	0.317
902S01097	BMI	Arsenic_uf_ug_L	Total arsenic (µg/L)	EPT_PercentTaxa	Percent of EPT taxa	8	-1.3	0.23	-0.44	0.196
902S01097	BMI	Calcium_uf_mg_L	Total calcium (mg/L)	CSCI	CSCI	8	0.56	0.59	0.21	0.043
902S01097	BMI	Calcium_uf_mg_L	Total calcium (mg/L)	MMI	MMI	8	0.84	0.43	0.3	0.092
902S01097	BMI	Calcium_uf_mg_L	Total calcium (mg/L)	OoverE	O/E	8	0.33	0.75	0.12	0.015
902S01097	BMI	Calcium_uf_mg_L	Total calcium (mg/L)	Taxonomic_Richness	Taxonomic richness	8	0.45	0.67	0.17	0.028
902S01097	BMI	Calcium_uf_mg_L	Total calcium (mg/L)	Intolerant_Percent	Percent intolerant individuals	8	1.5	0.19	0.48	0.232
902S01097	BMI	Calcium_uf_mg_L	Total calcium (mg/L)	Shredder_Taxa	Number of shredder taxa	8	0.77	0.47	0.28	0.078
902S01097	BMI	Calcium_uf_mg_L	Total calcium (mg/L)	Clinger_PercentTaxa	Percent of clinger taxa	8	2.2	0.066	0.64	0.403
902S01097	BMI	Calcium_uf_mg_L	Total calcium (mg/L)	Coleoptera_PercentTaxa	Percent of coleoptera taxa	8	-0.83	0.43	-0.3	0.090
902S01097	BMI	Calcium_uf_mg_L	Total calcium (mg/L)	EPT_PercentTaxa	Percent of EPT taxa	8	1.2	0.29	0.4	0.159
902S01097	BMI	Chlor_a_particulate_mg_m2	Particulate chlorophyll a (mg/m2)	CSCI	CSCI	17	0.059	0.95	0.015	0.000
902S01097	BMI	Chlor_a_particulate_mg_m2	Particulate chlorophyll a (mg/m2)	MMI	MMI	17	0.77	0.45	0.19	0.036
