StationID_Master	Stressor	Response	StressSampID	RespSampID	Quality	StressorValue	ResponseValue	biocomm	stressLabel	respLabel	n_site	n_all	SR_Score_all	n_cluster	SR_Score_cluster
902S01097	AFDM_algae_particulate_g_m2	CSCI	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	1.050760498	BMI	Ash-free dry mass from algae (g/m2)	CSCI	5	453	0	19	0
902S01097	AFDM_algae_particulate_g_m2	MMI	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.803922222	BMI	Ash-free dry mass from algae (g/m2)	MMI	5	453	0	19	0
902S01097	AFDM_algae_particulate_g_m2	OoverE	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	1.297598774	BMI	Ash-free dry mass from algae (g/m2)	O/E	5	453	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Taxonomic_Richness	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	37	BMI	Ash-free dry mass from algae (g/m2)	Taxonomic richness	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Intolerant_Percent	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.028	BMI	Ash-free dry mass from algae (g/m2)	Percent intolerant individuals	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Shredder_Taxa	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	1	BMI	Ash-free dry mass from algae (g/m2)	Number of shredder taxa	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Clinger_PercentTaxa	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.310344828	BMI	Ash-free dry mass from algae (g/m2)	Percent of clinger taxa	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Coleoptera_PercentTaxa	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.081081081	BMI	Ash-free dry mass from algae (g/m2)	Percent of coleoptera taxa	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	EPT_PercentTaxa	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.189189189	BMI	Ash-free dry mass from algae (g/m2)	Percent of EPT taxa	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	CSCI	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	1.050760498	BMI	Ash-free dry mass from algae (g/m2)	CSCI	5	453	0	19	0
902S01097	AFDM_algae_particulate_g_m2	MMI	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.803922222	BMI	Ash-free dry mass from algae (g/m2)	MMI	5	453	0	19	0
902S01097	AFDM_algae_particulate_g_m2	OoverE	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	1.297598774	BMI	Ash-free dry mass from algae (g/m2)	O/E	5	453	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Taxonomic_Richness	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	37	BMI	Ash-free dry mass from algae (g/m2)	Taxonomic richness	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Intolerant_Percent	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.028	BMI	Ash-free dry mass from algae (g/m2)	Percent intolerant individuals	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Shredder_Taxa	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	1	BMI	Ash-free dry mass from algae (g/m2)	Number of shredder taxa	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Clinger_PercentTaxa	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.310344828	BMI	Ash-free dry mass from algae (g/m2)	Percent of clinger taxa	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	Coleoptera_PercentTaxa	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.081081081	BMI	Ash-free dry mass from algae (g/m2)	Percent of coleoptera taxa	5	455	0	19	0
902S01097	AFDM_algae_particulate_g_m2	EPT_PercentTaxa	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	101.5	0.189189189	BMI	Ash-free dry mass from algae (g/m2)	Percent of EPT taxa	5	455	0	19	0
902S01097	Alkalinity_CaCO3_fld_mg_L	CSCI	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	200	1.050760498	BMI	Field-measured alkalinity as calcium carbonate (mg/L)	CSCI	5	496	0	28	0
902S01097	Alkalinity_CaCO3_fld_mg_L	CSCI	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	200	1.050760498	BMI	Field-measured alkalinity as calcium carbonate (mg/L)	CSCI	5	496	0	28	0
902S01097	Alkalinity_CaCO3_fld_mg_L	MMI	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	200	0.803922222	BMI	Field-measured alkalinity as calcium carbonate (mg/L)	MMI	5	496	0	28	0
902S01097	Alkalinity_CaCO3_fld_mg_L	MMI	902S01097_2009-05-11	902S01097_5/11/2009_BMI_RWB_1	Good	200	0.803922222	BMI	Field-measured alkalinity as calcium carbonate (mg/L)	MMI	5	496	0	28	0
