"StationID_Master"	"BCdistance"	"Comment"	"RespSampID"	"CSCI"	"Quality"	"RespSampFlag"
"412LAR007"	0.033122556	"Cluster_LTEQ05"	"412LAR007_6/29/2005_BMI_TRC_1"	0.221822257	"Degraded"	"Large percent ambiguity"
"901S00313"	0.045309093	"Cluster_LTEQ05"	"901S00313_4/30/2009_BMI_RWB_1"	0.680272468	"Degraded"	"Unknown percent ambiguous individuals"
"901SJOF1x"	0.021491974	"Cluster_LTEQ05"	"901SJOF1x_6/5/2008_BMI_RWB_1"	0.7684356	"Degraded"	"Unknown percent ambiguous individuals"
"901SJOF1x"	0.021491974	"Cluster_LTEQ05"	"901SJOF1x_6/25/2008_BMI_RWB_1"	0.46944008	"Degraded"	"Unknown percent ambiguous individuals"
"901SJOF1x"	0.021491974	"Cluster_LTEQ05"	"901SJOF1x_4/28/2008_BMI_RWB_1"	0.755596213	"Degraded"	"Unknown percent ambiguous individuals"
"901SJOF1x"	0.021491974	"Cluster_LTEQ05"	"901SJOF1x_5/16/2008_BMI_RWB_1"	0.744053882	"Degraded"	"Unknown percent ambiguous individuals"
"901SJOF1x"	0.021491974	"Cluster_LTEQ05"	"901SJOF1x_7/3/2008_BMI_RWB_1"	0.368952886	"Degraded"	"Unknown percent ambiguous individuals"
"901SJOF1x"	0.021491974	"Cluster_LTEQ05"	"901SJOF1x_7/3/2008_BMI_RWB_1"	0.368952886	"Degraded"	"Unknown percent ambiguous individuals"
"902S01097"	0	"Cluster_LTEQ05"	"902S01097_5/11/2009_BMI_RWB_1"	1.050760498	"Good"	"Unknown percent ambiguous individuals"
"903M20153"	0.005342416	"Cluster_LTEQ05"	"903M20153_6/24/2015_BMI_RWB_1"	0.959438513	"Good"	NA
"903SLKYS3"	0.013787149	"Cluster_LTEQ05"	"903SLKYS3_5/7/2008_BMI_RWB_1"	0.984655396	"Good"	NA
"904M21713"	0.006737357	"Cluster_LTEQ05"	"904M21713_6/26/2015_BMI_RWB_1"	0.519037682	"Degraded"	NA
"904S00537"	0.014988042	"Cluster_LTEQ05"	"904S00537_5/4/2009_BMI_RWB_1"	0.450471752	"Degraded"	"Unknown percent ambiguous individuals"
"904S02585"	0.046707855	"Cluster_LTEQ05"	"904S02585_5/19/2010_BMI_RWB_1"	0.826565401	"Good"	NA
"904S08089"	0.003658679	"Cluster_LTEQ05"	"904S08089_5/20/2010_BMI_RWB_1"	0.868276272	"Good"	NA
"904S08089"	0.003658679	"Cluster_LTEQ05"	"904S08089_5/20/2010_BMI_RWB_2"	0.782774856	"Degraded"	NA
"904S12185"	0.005400726	"Cluster_LTEQ05"	"904S12185_5/24/2011_BMI_RWB_1"	0.768109139	"Degraded"	NA
"904WE1125"	0.005400726	"Cluster_LTEQ05"	"904WE1125_5/23/2002_BMI_TRC_1"	0.795810314	"Good"	NA
"904WE1125"	0.005400726	"Cluster_LTEQ05"	"904WE1125_6/22/2015_BMI_RWB_1"	0.788863442	"Degraded"	NA
"904WE1125"	0.005400726	"Cluster_LTEQ05"	"904WE1125_5/23/2002_BMI_RWB_1"	0.77768281	"Degraded"	NA
"904WE1131"	0.021766802	"Cluster_LTEQ05"	"904WE1131_5/21/2002_BMI_RWB_1"	0.648096534	"Degraded"	NA
"905DGCC1x"	0.048374507	"Cluster_LTEQ05"	"905DGCC1x_4/3/2013_BMI_RWB_1"	1.104251266	"Good"	"Unknown percent ambiguous individuals"
"905SDBDN9"	0.015116061	"Cluster_LTEQ05"	"905SDBDN9_3/29/2016_BMI_RWB_1"	0.788287683	"Degraded"	NA
"905SDBDN9"	0.015116061	"Cluster_LTEQ05"	"905SDBDN9_3/25/2014_BMI_RWB_1"	0.742734578	"Degraded"	"Unknown percent ambiguous individuals"
"907SDCHC3"	0.011834816	"Cluster_LTEQ05"	"907SDCHC3_5/8/2008_BMI_RWB_1"	0.824711621	"Good"	NA
"907SDCHC3"	0.011834816	"Cluster_LTEQ05"	"907SDCHC3_5/8/2008_BMI_RWB_1"	0.824711621	"Good"	NA
"909SHAR02"	0.010118372	"Cluster_LTEQ05"	"909SHAR02_5/8/2008_BMI_RWB_1"	0.792060496	"Good"	NA
